🖙	Sideways White Right Pointing Index	Symbols
🖚	Sideways Black Left Pointing Index	Symbols
🖛	Sideways Black Right Pointing Index	Symbols
🖜	Black Left Pointing Backhand Index	People
🖝	Black Right Pointing Backhand Index	People
🖞	Sideways White Up Pointing Index	Symbols
🖟	Sideways White Down Pointing Index	Symbols
🖠	Sideways Black Up Pointing Index	Symbols
🖡	Sideways Black Down Pointing Index	Symbols
🖢	Black Up Pointing Backhand Index	People
🖣	Black Down Pointing Backhand Index	People
🖤	Black Heart	People
🖥	Desktop Computer	Activities & objects
🖦	Keyboard And Mouse	Animals & nature
🖧	Three Networked Computers	Activities & objects
🖨	Printer	Activities & objects
🖩	Pocket Calculator	Other
🖪	Black Hard Shell Floppy Disk	Animals & nature
🖫	White Hard Shell Floppy Disk	Animals & nature
🖬	Soft Shell Floppy Disk	Animals & nature
🖭	Tape Cartridge	Travel & places
🖮	Wired Keyboard	Animals & nature
🖯	One Button Mouse	Animals & nature
🖰	Two Button Mouse	Animals & nature
🖱	Three Button Mouse	Animals & nature
🖲	Trackball	Activities & objects
🖳	Old Personal Computer	People
🖴	Hard Disk	Activities & objects
🖵	Screen	Other
🖶	Printer Icon	Activities & objects
🖷	Fax Icon	Activities & objects
🖸	Optical Disc Icon	Other
🖹	Document With Text	Other
🖺	Document With Text And Picture	Other
🖻	Document With Picture	Other
🖼	Frame With Picture	Other
🖽	Frame With Tiles	Other
🖾	Frame With An X	Other
🖿	Black Folder	People
🗀	Folder	People
🗁	Open Folder	People
🗂	Card Index Dividers	Travel & places
🗃	Card File Box	Animals & nature
🗄	File Cabinet	Activities & objects
🗅	Empty Note	Other
🗆	Empty Note Page	Activities & objects
🗇	Empty Note Pad	Other
🗈	Note	Other
🗉	Note Page	Activities & objects
🗊	Note Pad	Other
🗋	Empty Document	Other
🗌	Empty Page	Activities & objects
🗍	Empty Pages	Activities & objects
🗎	Document	Other
🗏	Page	Activities & objects
🗐	Pages	Activities & objects
🗑	Wastebasket	Activities & objects
🗒	Spiral Note Pad	Other
🗓	Spiral Calendar Pad	Activities & objects
🗔	Desktop Window	Animals & nature
🗕	Minimize	Other
🗖	Maximize	Other
🗗	Overlap	Other
🗘	Clockwise Right And Left Semicircle Arrows	Activities & objects
🗙	Cancellation X	Other
🗚	Increase Font Size Symbol	Symbols
🗛	Decrease Font Size Symbol	Symbols
🗜	Compression	Other
🗝	Old Key	Activities & objects
🗞	Rolled-Up Newspaper	Activities & objects
🗟	Page With Circled Text	Activities & objects
🗠	Stock Chart	Activities & objects
🗡	Dagger Knife	Food & drink
🗢	Lips	Other
🗣	Speaking Head In Silhouette	People
🗤	Three Rays Above	Other
🗥	Three Rays Below	Other
🗦	Three Rays Left	Other
🗧	Three Rays Right	Other
🗨	Left Speech Bubble	Symbols
🗩	Right Speech Bubble	Symbols
🗪	Two Speech Bubbles	Symbols
🗫	Three Speech Bubbles	Symbols
🗬	Left Thought Bubble	Symbols
🗭	Right Thought Bubble	Symbols
🗮	Left Anger Bubble	Symbols
🗯	Right Anger Bubble	Symbols
🗰	Mood Bubble	Other
🗱	Lightning Mood Bubble	Animals & nature
🗲	Lightning Mood	Animals & nature
🗳	Ballot Box With Ballot	Animals & nature
🗴	Ballot Script X	Activities & objects
